Version,Player #,Player Won,Time
0.3.0,29,False,9/29/2024 10:16:43 PM
0.3.0,38,False,9/29/2024 10:46:55 PM
0.3.0,41,False,9/29/2024 10:48:57 PM
0.3.0,44,False,9/29/2024 11:52:12 PM
0.3.0,54,False,9/30/2024 12:35:17 AM
0.3.0,55,False,9/30/2024 12:36:36 AM
0.3.0,56,False,9/30/2024 12:37:14 AM
0.3.0,77,False,9/30/2024 6:04:54 PM
0.3.0,78,False,9/30/2024 6:09:21 PM
0.3.0,82,False,9/30/2024 6:21:01 PM
0.3.0,83,False,9/30/2024 6:21:55 PM
0.3.0,87,False,9/30/2024 6:49:22 PM
0.3.0,88,False,9/30/2024 6:51:38 PM
0.3.0,95,False,9/30/2024 7:07:01 PM
0.3.0,97,False,9/30/2024 7:10:01 PM
0.3.0,98,False,9/30/2024 7:13:47 PM
0.3.0,100,False,9/30/2024 7:21:38 PM
0.3.0,100,True,9/30/2024 7:23:20 PM
0.3.0,1,False,10/1/2024 11:07:07 PM
0.3.0,4,False,10/1/2024 11:22:42 PM
0.3.0,4,False,10/1/2024 11:23:50 PM
0.3.0,6,False,10/1/2024 11:29:16 PM
0.3.0,7,False,10/1/2024 11:37:04 PM
0.3.0,8,False,10/1/2024 11:40:35 PM
0.3.0,9,False,10/1/2024 11:52:32 PM
0.3.0,15,False,10/1/2024 11:56:56 PM
0.3.0,18,False,10/2/2024 12:23:22 AM
